,Date,Total Hours,Dual Received,Pilot in Command,Day,Night,Cross-Country,Instrument,Day Landings,Night Landings,Work,Work Hours
0,6/1/2021,2.3,2.3,0.0,2.3,0,0.0,0.0,7,0,No,0.0
1,6/2/2021,2.5,2.5,0.0,2.5,0,0.0,0.0,10,0,Yes,3.56
2,6/3/2021,2.2,2.2,0.0,2.2,0,0.0,0.0,8,0,No,0.0
3,6/4/2021,1.0,1.0,0.0,1.0,0,0.0,0.0,8,0,No,0.0
4,6/5/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.44
5,6/6/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
6,6/7/2021,2.5,2.5,0.0,2.5,0,0.0,0.0,11,0,Yes,4.34
7,6/8/2021,3.1,3.1,0.0,3.1,0,0.0,0.0,9,0,Yes,7.11
8,6/9/2021,1.3,1.3,0.0,1.3,0,0.0,0.0,7,0,Yes,3.23
9,6/10/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
10,6/11/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,5.34
11,6/12/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.22
12,6/13/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
13,6/14/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
14,6/15/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
15,6/16/2021,2.0,2.0,0.0,2.0,0,0.0,0.0,8,0,No,0.0
16,6/17/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,3.12
17,6/18/2021,1.5,1.5,0.0,1.5,0,0.0,0.0,6,0,Yes,6.41
18,6/19/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.35
19,6/20/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
20,6/21/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,8,0,No,0.0
21,6/22/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,10,0,No,0.0
22,6/23/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
23,6/24/2021,2.1,2.1,0.0,2.1,0,0.0,0.0,9,0,Yes,4.29
24,6/25/2021,2.8,2.8,0.0,2.8,0,0.0,0.0,12,0,Yes,7.11
25,6/26/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,4.47
26,6/27/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
27,6/28/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,3.44
28,6/29/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,8.12
29,6/30/2021,1.5,1.5,1.5,0.0,0,0.0,1.0,2,0,No,0.0
30,7/1/2021,2.4,0.0,2.4,2.4,0,2.4,0.0,3,0,No,0.0
31,7/2/2021,0.0,0.0,0.0,0.0,0,1.9,0.0,0,0,Yes,7.47
32,7/3/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.45
33,7/4/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
34,7/5/2021,1.9,0.0,1.9,1.9,0,0.0,0.0,3,0,No,0.0
35,7/6/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.25
36,7/7/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.11
37,7/8/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,4.15
38,7/9/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,8,0,No,0.0
39,7/10/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.25
40,7/11/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
41,7/12/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,1,0,No,0.0
42,7/13/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.2
43,7/14/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,3.49
44,7/15/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,4.19
45,7/16/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,8,0,No,0.0
46,7/17/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.15
47,7/18/2021,1.4,0.0,1.4,1.4,0,0.0,0.0,5,0,Yes,5.34
48,7/19/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.53
49,7/20/2021,1.6,1.6,0.0,1.6,0,0.0,0.0,6,0,Yes,7.43
50,7/21/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.29
51,7/22/2021,1.8,,0.0,1.8,0,0.0,0.0,6,0,No,0.0
52,7/23/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
53,7/24/2021,2.5,2.5,0.0,2.5,0,0.0,0.0,12,0,No,0.0
54,7/25/2021,1.4,1.4,0.0,1.4,0,0.0,0.0,6,0,Yes,7.47
55,7/26/2021,1.8,1.8,0.0,1.8,0,0.0,0.0,7,0,Yes,6.33
56,7/27/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
57,7/28/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,8.1
58,7/29/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.8
59,7/30/2021,1.7,1.7,0.0,1.7,0,0.0,0.0,10,0,No,0.0
60,7/31/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
61,8/1/2021,1.4,1.4,0.0,1.4,0,0.0,0.0,8,0,Yes,6.39
62,8/2/2021,1.5,1.5,0.0,1.5,0,0.0,0.0,4,0,No,0.0
63,8/3/2021,4.0,4.0,4.0,2.0,2,4.0,3.0,0,2,Yes,7.16
64,8/4/2021,2.8,2.8,2.8,2.8,0,2.8,2.8,2,0,Yes,6.55
65,8/5/2021,1.4,1.4,1.4,1.4,0,0.0,1.4,1,0,No,0.0
66,8/6/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,No,0.0
67,8/7/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.57
68,8/8/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.59
69,8/9/2021,5.5,5.5,5.5,3.5,2,5.5,4.3,3,1,No,0.0
70,8/10/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,5.58
