Date,Work,Work Hours
6/1/2021,No,0
6/2/2021,Yes,3.56
6/3/2021,No,0
6/4/2021,No,0
6/5/2021,Yes,6.44
6/6/2021,No,0
6/7/2021,Yes,4.34
6/8/2021,Yes,7.11
6/9/2021,Yes,3.23
6/10/2021,No,0
6/11/2021,Yes,5.34
6/12/2021,Yes,6.22
6/13/2021,No,0
6/14/2021,No,0
6/15/2021,No,0
6/16/2021,No,0
6/17/2021,Yes,3.12
6/18/2021,Yes,6.41
6/19/2021,Yes,6.35
6/20/2021,No,0
6/21/2021,No,0
6/22/2021,No,0
6/23/2021,No,0
6/24/2021,Yes,4.29
6/25/2021,Yes,7.11
6/26/2021,Yes,4.47
6/27/2021,No,0
6/28/2021,Yes,3.44
6/29/2021,Yes,8.12
6/30/2021,No,0
7/1/2021,No,0
7/2/2021,Yes,7.47
7/3/2021,Yes,7.45
7/4/2021,No,0
7/5/2021,No,0
7/6/2021,Yes,7.25
7/7/2021,Yes,7.11
7/8/2021,Yes,4.15
7/9/2021,No,0
7/10/2021,Yes,7.25
7/11/2021,No,0
7/12/2021,No,0
7/13/2021,Yes,7.2
7/14/2021,Yes,3.49
7/15/2021,Yes,4.19
7/16/2021,No,0
7/17/2021,Yes,7.15
7/18/2021,Yes,5.34
7/19/2021,Yes,7.53
7/20/2021,Yes,7.43
7/21/2021,Yes,6.29
7/22/2021,No,0
7/23/2021,No,0
7/24/2021,No,0
7/25/2021,Yes,7.47
7/26/2021,Yes,6.33
7/27/2021,No,0
7/28/2021,Yes,8.1
7/29/2021,Yes,6.8
7/30/2021,No,0
7/31/2021,No,0
8/1/2021,Yes,6.39
8/2/2021,No,0
8/3/2021,Yes,7.16
8/4/2021,Yes,6.55
8/5/2021,No,0
8/6/2021,No,0
8/7/2021,Yes,7.57
8/8/2021,Yes,6.59
8/9/2021,No,0
8/10/2021,Yes,5.58
